"wimm_coefs[, 1]","Linear, none_1910_est","Linear, none_1910_pval","Linear, none_1920_est","Linear, none_1920_pval","Linear, none_1930_est","Linear, none_1930_pval","Linear, ownership_1910_est","Linear, ownership_1910_pval","Linear, ownership_1920_est","Linear, ownership_1920_pval","Linear, ownership_1930_est","Linear, ownership_1930_pval"
(Intercept),1.1499117646323453,0.2907196758179066,1.0705734691105422,0.5877290518809936,1.0872809725748742,0.5282705078696746,0.9352057001999223,0.6366980447964974,0.8216267050241846,0.1697703611927702,1.5494202760316966,0.003592762460676106
woman,0.8875887527729072,0.1582765807157131,0.8805489846064497,0.1526370469186783,0.8343836756251503,0.05718319252583857,0.8776262166313762,0.12339728385909288,0.8736516732558277,0.12955737305256326,0.8362405903334763,0.06056210890033458
married,1.0158969119453556,0.8338948516694726,0.9945007428838889,0.9444825912973036,0.9730818122889812,0.7538724863448822,1.0130990479005502,0.8629430129831545,0.9905300966337169,0.9045034171451144,0.9723207937151869,0.7474380781308765
homeowner,0.4884585226199589,2.2475830354629735e-133,0.48327601778791784,1.2334878622906385e-172,0.29021751852249367,0,1.0074248228742684,0.9697336499741631,0.8411479740476397,0.21624861541951995,0.14947631040455955,9.347821910122634e-45
age1,0.9706287061114223,1.0402760975629684e-108,0.9693763448699734,1.164440292790185e-115,0.9672852360460307,5.64286961273402e-109,0.9705012524479472,2.46612013133353e-109,0.9693147688677269,1.0427559638314198e-115,0.9670105970021681,2.1951988687160534e-110
kids_1_to_2,1.046194765782749,0.21224869416235825,0.9790893637812893,0.5646656634599969,1.0786169403112424,0.036043299526913514,1.0457967909713004,0.2173626137636635,0.9823879022890161,0.6290789036630184,1.0760368441446206,0.0426938522880417
kids_3_up,0.9864850182005428,0.7038684794562113,0.8905602733734631,0.0017217924065206702,0.9507208805101701,0.19467768148258346,0.9810442572146133,0.5938222601702994,0.8928985112344807,0.002256857068101965,0.9420121478580452,0.1259930460378446
hh_max_sei1,1.003594389536245,4.116171792062601e-9,1.0092314565861455,1.115282805664674e-48,1.0078933836643438,5.491566555917516e-35,1.0035251891837034,8.600024487879909e-9,1.009277665861246,5.230304960244914e-49,1.007799035002713,3.7799494521282252e-34
ed_mean_sei1,1.0372192939605498,1.184507142227213e-12,1.0590049018400869,2.626966744367746e-30,1.0672518428433189,1.7194667613958108e-48,1.0575106389073172,2.808651480708091e-20,1.0848626509796957,4.244878068893708e-31,1.0594730286999088,6.700273939111364e-20
ed_pct_black1,1.010448222316293,2.393086176887432e-12,1.0152271542312112,5.026274713516531e-37,1.0115300527518514,1.0432148417344177e-28,1.009396928245348,5.405590872097792e-8,1.0156246703431975,2.798697824141402e-20,1.0054452502436082,5.864639335700477e-4
ed_pct_frnbrn1,1.0153553725509874,6.566817161781628e-58,1.012968135747382,3.5457284910491116e-36,1.0001550567061093,0.905852465528803,1.0144310515704673,1.628674668759532e-40,1.0137556567700532,6.527328752173577e-23,0.9919605007717001,1.2234704536615402e-5
homeowner:ed_mean_sei1,NA,NA,NA,NA,NA,NA,0.9389562528745434,2.1496197841076462e-8,0.9537944673878525,8.841142394133217e-7,1.0166467031444357,0.046980172369134175
homeowner:ed_pct_black1,NA,NA,NA,NA,NA,NA,1.0023165922142931,0.4900977559476634,0.9983537327068877,0.48789379558241863,1.0108498443225475,1.5494273300310728e-7
homeowner:ed_pct_frnbrn1,NA,NA,NA,NA,NA,NA,1.0042718979594203,0.054093919478869455,0.9981797098669511,0.36824450519068014,1.016444375092624,2.6439379414336804e-10
